Date,Open,trueTomorrow,predictedTomorrow,predictedAction,predicted,residual,stock
2019-10-04,1.049999952,1.00999999,1.031329762,sell,1.001942018,-0.048057934,ford
2019-10-07,1.00999999,1.019999981,1.018738747,buy,1.031329762,0.021329771,ford
2019-10-08,1.019999981,1.019999981,1.019198687,sell,1.018738747,-0.001261234,ford
2019-10-09,1.019999981,1.039999962,1.020456005,buy,1.019198687,-0.000801294,ford
2019-10-10,1.039999962,0.99000001,1.03340201,sell,1.020456005,-0.019543957,ford
2019-10-11,0.99000001,1.029999971,1.007451526,buy,1.03340201,0.043402001,ford
2019-10-14,1.029999971,1.00999999,1.024414859,sell,1.007451526,-0.022548445,ford
2019-10-15,1.00999999,1.00999999,1.017306354,buy,1.024414859,0.014414868,ford
2019-10-16,1.00999999,1.059999943,1.014475736,buy,1.017306354,0.007306363,ford
2019-10-17,1.059999943,1,1.044668052,sell,1.014475736,-0.045524207,ford
2019-10-18,1,1.039999962,1.016718506,buy,1.044668052,0.044668052,ford
2019-10-21,1.039999962,0.980000019,1.032593169,sell,1.016718506,-0.023281456,ford
2019-10-22,0.980000019,1.080000043,1.001444318,buy,1.032593169,0.05259315,ford
2019-10-23,1.080000043,1.059999943,1.053479663,sell,1.001444318,-0.078555725,ford
2019-10-24,1.059999943,1.039999962,1.058238038,sell,1.053479663,-0.00652028,ford
2019-10-25,1.039999962,1.029999971,1.045619929,buy,1.058238038,0.018238076,ford
2019-10-28,1.029999971,1.039999962,1.037222065,buy,1.045619929,0.015619957,ford
2019-10-29,1.039999962,1.070000052,1.04194886,buy,1.037222065,-0.002777897,ford
2019-10-30,1.070000052,1.070000052,1.062800627,sell,1.04194886,-0.028051193,ford
2019-10-31,1.070000052,1.019999981,1.0687845,sell,1.062800627,-0.007199425,ford
2019-11-01,1.019999981,1.029999971,1.038162991,buy,1.0687845,0.048784519,ford
2019-11-04,1.029999971,1.00999999,1.036860767,buy,1.038162991,0.00816302,ford
2019-11-05,1.00999999,1.059999943,1.02344151,buy,1.036860767,0.026860776,ford
2019-11-06,1.059999943,1.059999943,1.049930204,sell,1.02344151,-0.036558433,ford
2019-11-07,1.059999943,1.039999962,1.05634129,sell,1.049930204,-0.010069738,ford
2019-11-08,1.039999962,1.019999981,1.044503103,buy,1.05634129,0.016341328,ford
2019-11-11,1.019999981,1.00999999,1.029404051,buy,1.044503103,0.024503122,ford
2019-11-12,1.00999999,0.99000001,1.019232704,buy,1.029404051,0.01940406,ford
2019-11-13,0.99000001,1.019999981,1.002369703,buy,1.019232704,0.029232694,ford
