date,stock,buyPrice,numShares,sellPrice,sellDate,profit
2020-07-22,forward,1.24000001,15,1.25999999,2020-07-23 0:00,0.3
2020-07-27,forward,1.25999999,15,1.309999943,2020-07-28 0:00,0.75
2020-07-30,forward,1.289999962,15,1.409999967,2020-07-31 0:00,1.8
2020-08-06,forward,1.419999957,15,2.180000067,2020-08-18 0:00,11.4
2020-08-19,forward,1.620000005,20,1.74000001,2020-08-20 0:00,2.4
2020-08-21,forward,1.649999976,21,1.649999976,2020-08-26 0:00,0
2020-08-27,forward,1.519999981,23,1.620000005,2020-08-28 0:00,2.3
2020-09-03,forward,1.539999962,24,1.5,2020-09-09 0:00,-0.96
2020-09-14,forward,1.450000048,25,1.409999967,2020-09-16 0:00,-1
2020-09-22,forward,1.370000005,26,1.450000048,2020-09-23 0:00,2.08
2020-09-24,forward,1.379999995,27,1.409999967,2020-09-28 0:00,0.81
2020-09-30,forward,1.399999976,27,1.409999967,2020-10-01 0:00,0.27
2020-10-07,forward,1.450000048,27,1.480000019,2020-10-08 0:00,0.81
2020-10-14,forward,1.570000052,25,1.620000005,2020-10-19 0:00,1.25
2020-10-20,forward,1.519999981,27,1.549999952,2020-10-22 0:00,0.81
2020-10-26,forward,1.50999999,27,1.529999971,2020-10-28 0:00,0.54
2020-10-27,forward,1.460000038,1,1.529999971,2020-10-28 0:00,0.54
2020-10-28,nordstrom,12.18999958,3,12.26000023,2020-10-29 0:00,0.21
2020-10-30,forward,1.519999981,27,1.539999962,2020-11-02 0:00,0.54
2020-11-04,forward,1.549999952,27,1.570000052,2020-11-06 0:00,0.54
2020-11-10,forward,1.559999943,27,1.570000052,2020-11-11 0:00,0.27
2020-11-12,forward,1.559999943,7,1.600000024,2020-11-13 0:00,0.28
2020-11-12,nordstrom,15.71000004,2,16.04000092,2020-11-13 0:00,0.66
