stock,date,buyPrice,numShares,sellPrice,profit
ford,2019-11-08,70.830000163,38542.0,72.16999959699997,1047.8999999999999
ford,2019-11-15,71.84000015299999,40074.0,73.17999958699997,1047.8999999999999
ford,2019-11-20,72.830000163,41637.0,74.17999958699997,1063.53
ford,2019-12-04,73.84000015299999,43185.0,75.20999955799996,1094.49
ford,2019-12-09,74.86000013399999,44748.0,76.20999955799996,1063.23
ford,2019-12-13,75.830000163,46359.0,77.21999954799996,1127.6699999999998
ford,2019-12-17,76.820000173,48003.0,78.26999949999995,1226.31
ford,2019-12-24,77.800000192,49764.0,79.26999949999995,1261.53
ford,2020-01-14,78.920000197,51336.0,80.36999952399995,1230.09
ford,2020-02-20,80.01000022999999,52923.0,81.44999956699995,1214.22
ford,2020-02-28,80.980000259,54690.0,82.44999956699995,1267.23
ford,2020-03-04,81.970000269,56475.0,83.44999956699995,1285.08
ford,2020-03-10,82.980000259,58242.0,84.47999953799994,1320.4199999999998
ford,2020-03-18,84.00000023999999,60026.0,85.47999953799994,1284.7399999999998
ford,2020-03-23,84.99000025,61828.0,86.52999948999994,1392.8599999999997
ford,2020-03-26,86.01000023099999,63683.0,87.60999953299994,1504.1599999999999
ford,2020-03-31,87.08000028299999,65556.0,88.72999953799993,1597.8100000000002
ford,2020-04-03,88.18000030699999,67463.0,89.82999956199993,1597.8100000000002
ford,2020-04-09,89.27000033999998,69387.0,90.94999956699992,1655.5300000000004
ford,2020-04-15,90.35000038299998,71382.0,92.05999958099991,1715.3800000000003
ford,2020-04-17,91.40000033499997,73491.0,93.15999960499991,1820.8300000000006
ford,2020-04-21,92.46000027799997,75680.0,94.2599996289999,1908.3900000000006
ford,2020-04-23,93.51000022999996,77973.0,95.2899995999999,1862.5300000000004
ford,2020-04-29,94.54000020099996,80266.0,96.3499995429999,1931.3200000000004
ford,2020-05-12,95.64000022499995,82476.0,97.44999956699989,1931.3200000000004
ford,2020-05-15,96.72000026799995,84727.0,98.53999959999989,1953.8300000000006
ford,2020-05-27,97.88000023499995,86842.0,99.74999963799989,2059.580000000001
ford,2020-06-12,99.12000024499996,88906.0,101.01999961899989,2121.500000000001
ford,2020-06-18,100.45000028799996,90877.0,102.43999957599989,2298.8900000000012
ford,2020-06-23,101.88000023599996,92834.0,103.8299995619999,2220.610000000001
ford,2020-06-26,103.26000023099996,94805.0,105.1199995239999,2043.2200000000012
ford,2020-07-16,104.52000022099996,96823.0,106.39999949499989,2083.5800000000013
ford,2020-07-22,105.76000023099996,98906.0,107.65999948499989,2125.240000000001
ford,2020-07-27,107.02000022099996,100989.0,108.96999942799988,2229.3900000000012
ford,2020-07-30,108.31000018299996,103104.0,110.37999939499988,2483.1900000000014
ford,2020-08-06,109.73000013999996,105204.0,112.55999946199988,4079.1900000000014
ford,2020-08-19,111.35000014499995,108030.0,114.29999947199988,4418.310000000001
ford,2020-08-21,113.00000012099996,111010.0,115.94999944799989,4418.310000000001
ford,2020-08-27,114.52000010199995,114245.0,117.56999945299988,4741.810000000001
ford,2020-09-03,116.06000006399995,117648.0,119.06999945299988,4605.690000000001
ford,2020-09-14,117.51000011199996,121169.0,120.47999941999988,4464.850000000001
ford,2020-09-22,118.88000011699995,124792.0,121.92999946799989,4754.690000000001
ford,2020-09-24,120.26000011199996,128599.0,123.3399994349999,4868.9000000000015
ford,2020-09-30,121.66000008799996,132433.0,124.7499994019999,4907.240000000001
ford,2020-10-07,123.11000013599997,136162.0,126.2299994209999,5019.110000000001
ford,2020-10-14,124.68000018799997,139677.0,127.8499994259999,5194.860000000001
ford,2020-10-20,126.20000016899996,143423.0,129.3999993779999,5307.240000000001
ford,2020-10-26,127.71000015899996,147268.0,130.9299993489999,5384.140000000001
ford,2020-10-30,129.23000013999996,151139.0,132.4699993109999,5461.560000000001
ford,2020-11-04,130.78000009199997,154985.0,134.0399993629999,5538.480000000001
ford,2020-11-10,132.34000003499997,158855.0,135.60999941499992,5577.180000000001
ford,2020-11-12,133.89999997799998,162750.0,137.20999943899992,5732.980000000001
tesla,2018-11-19,1.340000033,373.0,1.389999986,18.650000000000034
tesla,2018-11-27,2.710000038,751.0,2.759999991,18.650000000000034
tesla,2018-11-30,4.070000052,1132.0,4.200000048,49.13000000000005
tesla,2018-12-06,5.420000076,1538.0,5.620000005,77.55000000000001
